id,score
4112d61851461f60,[0.52587891]
09e418c93a776564,[0.76611328]
36baf228038e314b,[0.27905273]
1f37ead645e7f0c8,[0.55664062]
71a5b6ad068d531f,[0.]
474c874d0c07bd21,[0.22509766]
442c114ed5c4e3c9,[0.04800415]
b8ae62ea5e1d8bdb,[0.09088135]
faaddaf8fcba8a3f,[0.58447266]
ae0262c02566d2ce,[0.23083496]
a8808e31641e856d,[0.57617188]
16ae4b99d3601e60,[0.51367188]
25c555ca3d5a2092,[0.51953125]
5203a36c501f1b7c,[0.48901367]
b9fdc772bb8fd61c,[0.]
7aa5908a77a7ec24,[0.]
d19ef3979396d47e,[0.22680664]
fd83613b7843f5e1,[0.53417969]
2a619016908bfa45,[0.]
733979d75f59770d,[0.]
6546846df17f9800,[0.10784912]
3ff0e7a35015be69,[0.51953125]
12ca31f018a2e2b9,[0.53515625]
03ba802ed4029e4d,[0.24719238]
c404f8b378cbb008,[0.51904297]
78243984c02a72e4,[0.52636719]
de51114bc0faec3e,[0.01548004]
7e3aff857f056bf9,[0.52685547]
26c3c6dc6174b589,[1.]
b892011ab2e2cabc,[0.]
8247ff562ca185cc,[0.]
c057aecbba832387,[0.20031738]
9f2279ce667b21dc,[0.15222168]
b9ea2b06a878df6f,[0.]
79795133c30ef097,[0.48413086]
25522ee5411e63e9,[0.49511719]
