id,score
4112d61851461f60,[0.57082534]
09e418c93a776564,[0.77796298]
36baf228038e314b,[0.18529181]
1f37ead645e7f0c8,[0.40007126]
71a5b6ad068d531f,[0.]
474c874d0c07bd21,[0.1470955]
442c114ed5c4e3c9,[0.15288199]
b8ae62ea5e1d8bdb,[0.17950429]
faaddaf8fcba8a3f,[0.57461107]
ae0262c02566d2ce,[0.24052408]
a8808e31641e856d,[0.55379224]
16ae4b99d3601e60,[0.24784622]
25c555ca3d5a2092,[0.5532794]
5203a36c501f1b7c,[0.5393697]
b9fdc772bb8fd61c,[0.0258856]
7aa5908a77a7ec24,[0.01861338]
d19ef3979396d47e,[0.15907694]
fd83613b7843f5e1,[0.43538636]
2a619016908bfa45,[0.04852423]
733979d75f59770d,[0.05535357]
6546846df17f9800,[0.11709006]
3ff0e7a35015be69,[0.56488782]
12ca31f018a2e2b9,[0.30624133]
03ba802ed4029e4d,[0.18823577]
c404f8b378cbb008,[0.55554092]
78243984c02a72e4,[0.61989588]
de51114bc0faec3e,[0.21876393]
7e3aff857f056bf9,[0.6170879]
26c3c6dc6174b589,[0.96617639]
b892011ab2e2cabc,[0.00103853]
8247ff562ca185cc,[0.1807612]
c057aecbba832387,[0.22421899]
9f2279ce667b21dc,[0.02647193]
b9ea2b06a878df6f,[0.]
79795133c30ef097,[0.62918538]
25522ee5411e63e9,[0.26537034]
